vi,en,ja
Các triệu chứng của đường tiêu hóa trên bao gồm,Upper gastrointestinal (GI) complaints include,上部消化管の愁訴としては以下のものがある：
"Đau ngực     Đau ngực  Đau ngực là một triệu chứng rất phổ biến. Nhiều bệnh nhân nhận thức rõ rằng đây là một triệu chứng cảnh báo bệnh lý có khả năng gây đe dọa tính mạng, do đó, họ đến khám để đánh giá các triệu...  đọc thêm","Chest pain     Chest Pain  Chest pain is a very common complaint. Many patients are well aware that it is a warning of potential life-threatening disorders and seek evaluation for minimal symptoms. Other patients, including...  read more",胸痛     胸痛  胸痛は非常に一般的な愁訴である。多くの患者は，胸痛が生命を脅かす可能性がある疾患の警告であることをよく意識しており，ごく軽微な症状でも医療機関を受診する。一方で，重篤な疾患のある多くの患者を含めて，この警告を過小評価したり無視したりする患者もいる。疼痛の知覚（特徴と重症度の両方）は個人間あるいは男女間で大きく異なる。胸痛の訴えがどのような...  さらに読む
"Đau bụng mạn tính và tái phát     Đau bụng mạn tính và đau bụng tái phát  Đau bụng mạn tính (Chronic abdominal pain, CAP) kéo dài hơn 3 tháng liên tục hoặc ngắt quãng. Đau bụng không liên tục có thể xem như đau bụng tái phát (RAP). Đau bụng cấp được thảo luận ở tài...  đọc thêm",Chronic and recurrent abdominal pain     Chronic Abdominal Pain and Recurrent Abdominal Pain  Chronic abdominal pain (CAP) is pain that persists for more than 3 months either continuously or intermittently. Intermittent pain may be referred to as recurrent abdominal pain (RAP). Acute...  read more,慢性および反復性腹痛     慢性腹痛および反復性腹痛  慢性腹痛とは，3カ月以上にわたり連続的または間欠的に持続する腹痛のことである。間欠的な腹痛は，反復性腹痛と呼ばれることもある。 急性腹痛については，本マニュアルの別の箇所で考察されている。慢性腹痛は5歳以降のいずれの年齢でも起こりうる。最大10％の小児患者で反復性腹痛の評価が必要になる。慢性腹痛は成人の約2％にみられ，その多くは女性である...  さらに読む
"Khó tiêu     Khó tiêu  Khó tiêu là cảm giác đau hoặc khó chịu ở phần trên của bụng; cảm giác này thường tái phát. Nó có thể được mô tả như khó tiêu, đầy hơi, nhanh no, cảm giác đầy sau bữa ăn, cồn cào, hoặc nóng....  đọc thêm","Dyspepsia     Dyspepsia  Dyspepsia is a sensation of pain or discomfort in the upper abdomen; it often is recurrent. It may be described as indigestion, gassiness, early satiety, postprandial fullness, gnawing, or burning...  read more",消化不良     消化不良  消化不良（dyspepsia）は，上腹部に疼痛または不快感を覚える症状であり，しばしば反復性である。消化障害，ガスの充満，早期満腹感，食後の膨満感，さしこみ痛，灼熱痛などとして報告される場合もある。 消化不良には一般的な原因（ Professional.see table 消化不良（dyspepsia）の主な原因）がいくつかある。...  さらに読む
"Khó nuốt     Khó nuốt  Khó nuốt là tình trạng khó khăn khi nuốt. Tình trạng này xuất phát từ quá trình vận chuyển đồ lỏng, đồ đặc, hoặc cả hai từ họng đến dạ dày bị đình trệ. Không nên nhầm lẫn khó nuốt với cảm giác...  đọc thêm","Dysphagia     Dysphagia  Dysphagia is difficulty swallowing. The condition results from impeded transport of liquids, solids, or both from the pharynx to the stomach. Dysphagia should not be confused with globus sensation...  read more",嚥下困難     嚥下困難  嚥下困難とは，嚥下が困難になった状態である。この病態は，咽頭から胃への液体，固形物，またはその両方の輸送阻害に起因する。嚥下困難を球感覚と混同してはならず， 球感覚は咽喉に塊があるような異常感覚であり，嚥下障害ではなく，輸送障害も生じない。 （ 食道疾患および嚥下障害の概要も参照のこと。）...  さらに読む
"Cục trong họng     Cục trong họng  Cục trong họng là cảm giác có cục hoặc khối trong họng, không liên quan đến nuốt, trong khi không có cục nào. (Xem Khối ở cổ nếu có một khối) Không xác định được căn nguyên hoặc cơ chế sinh...  đọc thêm","Lump in the throat     Lump in Throat  Lump in the throat is the sensation of a lump or mass in the throat, unrelated to swallowing, when no mass is present. (See Neck Mass if a mass is present.) No specific etiology or physiologic...  read more",咽喉頭異常感     咽喉頭異常感  咽喉頭異常感とは，実際には腫瘤がない状況で，咽喉に塊ないし腫瘤があるかのような感覚が（嚥下とは無関係に）生じる症状である。（腫瘤が存在する場合は， 頸部腫瘤を参照のこと。） 特異的な病因や器質的な機序は確立されていない。症状出現時に輪状咽頭筋（上部食道括約筋）の圧力上昇または下咽頭の運動異常がみられることを示唆する研究もある。この感覚は，...  さらに読む
Hơi thở hôi     Hơi thở hôi  Chứng hôi miệng là hơi thở hôi thường xuyên hoặc dai dẳng. (Xem thêm Đánh giá bệnh nhân nha khoa.) Hơi thở hôi thường là kết quả từ quá trình lên men thực phẩm do vi khuẩn Gram âm hiếm khí trong...  đọc thêm,Halitosis     Halitosis  Halitosis is a frequent or persistent unpleasant breath odor. (See also Evaluation of the Dental Patient.) Halitosis most often results from fermentation of food particles by anaerobic gram-negative...  read more,口臭     口臭  口臭は，頻繁な，または持続性の呼気の不快臭である。 （ 歯科患者の評価も参照のこと。） 口臭は，ほとんどの場合，口腔内の嫌気性グラム陰性細菌による食物残渣の発酵より生じる（細菌により硫化水素およびメチルメルカプタンのような揮発性硫黄化合物が産生される）。原因菌は特に潰瘍または壊死を伴う...  さらに読む
"Nấc     Nấc  Nấc là các co thắt không tự chủ lặp đi lặp lại của cơ hoành sau đó là đóng đột ngột thanh môn, việc này cản trở dòng khí vào và gây ra âm thanh đặc trưng. Các cơn nấc ngắn rất phổ biến. Nấc...  đọc thêm","Hiccups     Hiccups  Hiccups are repeated involuntary spasms of the diaphragm followed by sudden closure of the glottis, which checks the inflow of air and causes the characteristic sound. Transient episodes are...  read more",吃逆     吃逆  吃逆（しゃっくり）は，横隔膜が不随意の攣縮を繰り返した後に声門が突然閉塞し，それにより空気の流入が阻止されて特徴的な音が発生する現象である。一過性の症状出現は極めて一般的である。持続性（2日間を超える）および難治性（1カ月間を超える）の吃逆はまれであるが，かなりの苦痛を伴う。 吃逆は，求心性もしくは遠心性の横隔神経の刺激，または呼吸筋，特...  さらに読む
"Buồn nôn và nôn     Buồn nôn và nôn  Buồn nôn, cảm giác khó chịu cần phải nôn, biểu hiện nhận thức về kích thích hướng tâm (bao gồm tăng trương lực phó giao cảm) vào trung tâm nôn ở hành tủy. Nôn là quá trình tống mạnh các thành...  đọc thêm","Nausea and vomiting     Nausea and Vomiting  Nausea, the unpleasant feeling of needing to vomit, represents awareness of afferent stimuli (including increased parasympathetic tone) to the medullary vomiting center. Vomiting is the forceful...  read more",悪心および嘔吐     悪心および嘔吐  悪心は，嘔吐しそうな不快感で，延髄嘔吐中枢の求心性刺激（副交感神経緊張亢進など）の認識を表す。嘔吐は，胃内容物を強制的に排出させる運動で，胃底部および下部食道括約筋が弛緩している時点で腹筋系が不随意収縮することで起こる。 嘔吐は逆流，つまり関連する悪心や腹筋の強制的収縮を伴わない胃内容物の吐出と鑑別すべきである。...  さらに読む
Nhai lại     Nhai lại  Nhai lại là ựa ra (thường là không tự chủ) một lượng nhỏ thức ăn từ dạ dày (thường xuất hiện nhiều nhất là sau khi ăn từ 15 đến 30 phút) được nhai lại và bị nuốt lại trong hầu hết các trường...  đọc thêm,"Rumination     Rumination  Rumination is the (usually involuntary) regurgitation of small amounts of food from the stomach (most often 15 to 30 minutes after eating) that are rechewed and, in most cases, again swallowed...  read more",反芻症     反芻症  反芻症では，少量の食物（ほとんどの場合，食後15～30分の時点）が胃から逆流し（通常，不随意に），これを再び咀嚼し，ほとんどの場合，再び嚥下する。 患者は悪心または腹痛を訴えない。 反芻症は乳児でよくみられる。患者自身が報告することはまれであるので，成人における発生率は不明である。...  さらに読む
