vi,en,ja
"Y học chăm sóc tích cực là chuyên ngành điều trị những bệnh nhân có tình trạng bệnh nặng nhất. Những bệnh nhân này được điều trị tốt nhất trong một đơn vị hồi sức tích cực (ICU) với những nhân viên có kinh nghiệm. Một số bệnh viện duy trì các đơn vị riêng biệt cho các nhóm bệnh nhân đặc biệt (ví dụ: bệnh nhân tim, cấy ghép, chấn thương, phẫu thuật, thần kinh, nhi khoa hoặc trẻ sơ sinh). Các đơn vị hồi sức tích cực có tỷ lệ điều dưỡng trên bệnh nhân cao nhằm cung cấp dịch vụ chăm sóc tích cực với cường độ cao, bao gồm điều trị và theo dõi các thông số chức năng sống.","Critical care medicine specializes in caring for the most seriously ill patients. These patients are best treated in an intensive care unit (ICU) staffed by experienced personnel. Some hospitals maintain separate units for special populations (eg, cardiac, transplant, trauma, surgical, neurologic, pediatric, or neonatal patients). ICUs have a high nurse:patient ratio to provide the necessary high intensity of service, including treatment and monitoring of physiologic parameters.",救命医療は病状が最も重篤な患者のケアに特化している。こういった患者は，熟練したスタッフが配属された集中治療室（ICU）で治療を行うのが最もよい。病院によっては，特定の患者群（例，心疾患患者，外傷患者，手術患者，神経学的異常のある患者，小児，新生児の患児）に対し別々のICUを有するところもある。ICUは患者1人当たりの看護師の人数が多く，処置および生理学的パラメータのモニタリングなど，必要な集中治療管理を行える。
"Điều trị hỗ trợ cho bệnh nhân hồi sức tích cực bao gồm cung cấp đủ dinh dưỡng     Dinh dưỡng qua ống thông  Dinh dưỡng qua ống thông được chỉ định cho những bệnh nhân còn chức năng đường tiêu hóa (GI) nhưng dinh dưỡng qua đường miệng không đủ bởi vì họ không có khả năng hoặc không đồng ý ăn qua đường...  đọc thêm      điều trị và phòng ngừa nhiễm trùng, phòng ngừa loét dạ dày, viêm dạ dày do stress     Phòng ngừa  Viêm dạ dày ăn mòn là ăn mòn niêm mạc dạ dày do tổn thương hàng rào bảo vệ niêm mạc gây ra. Bệnh thường cấp tính, có biểu hiện chảy máu, nhưng có thể bán cấp hoặc mạn tính với ít hoặc không...  đọc thêm         và tắc mạch phổi     Phòng ngừa  Thuyên tắc động mạch phổi (PE) là tắc nghẽn nhánh động mạch phổi do huyết khối xuất phát từ nơi khác, điển hình là ở tĩnh mạch lớn ở chân hoặc khung chậu. Các yếu tố nguy cơ gây thuyên tắc động...  đọc thêm        . Do có từ 15 đến 25% bệnh nhân nhập viện ICU tử vong ở đó, các bác sĩ nên biết cách giảm thiểu đau khổ và giúp bệnh nhân sắp chết     Bệnh nhân cận tử  Bệnh nhân cận tử có những nhu cầu khác với những bệnh nhân khác. Để đáp ứng được nhu cầu của họ, trước hết phải xác định được rằng người bệnh đang trong giai đoạn cận tử. Trước khi tử vong,...  đọc thêm      duy trì phẩm giá.","Supportive care for the ICU patient includes provision of adequate nutrition     Enteral Tube Nutrition  Enteral tube nutrition is indicated for patients who have a functioning gastrointestinal (GI) tract but cannot ingest enough nutrients orally because they are unable or unwilling to take oral...  read more      and treatment and prevention of infection, stress ulcers and gastritis     Prevention  Erosive gastritis is gastric mucosal erosion caused by damage to mucosal defenses. It is typically acute, manifesting with bleeding, but may be subacute or chronic with few or no symptoms. Diagnosis...  read more        , and pulmonary embolism     Prevention  Pulmonary embolism (PE) is the occlusion of pulmonary arteries by thrombi that originate elsewhere, typically in the large veins of the legs or pelvis. Risk factors for pulmonary embolism are...  read more        . Because 15 to 25% of patients admitted to ICUs die there, physicians should know how to minimize suffering and help dying patients     The Dying Patient  Dying patients can have needs that differ from those of other patients. So that their needs can be met, dying patients must first be identified. Before death, patients tend to follow 1 of 3...  read more      maintain dignity.",ICU患者に対する支持療法（supportive care）としては， 十分な栄養投与     経腸チューブ栄養  消化管は機能しているものの，経口摂食できないまたはしたがらないため経口で十分な栄養素を摂取できない患者には，経腸チューブ栄養が適応となる。（ 栄養サポートの概要も参照のこと。） 静脈栄養と比較して，経腸栄養には以下の長所がある： 消化管の構造と機能がよりよく維持される 安価 おそらく合併症（特に感染症）がより少ない  さらに読む     や，感染症， ストレス潰瘍や胃炎     予防  びらん性胃炎は粘膜防御の障害に起因する胃粘膜びらんである。典型的には急性で，出血がみられるが，亜急性または慢性で症状がほとんどないか全くないこともある。診断は内視鏡検査による。治療は支持療法であり，具体的には誘因を除去するとともに，胃酸分泌抑制療法を開始する。特定のICU患者（例，人工呼吸器装着，頭部外傷，熱傷，多発外傷）では，胃酸分泌抑...  さらに読む        ，および 肺塞栓症     予防  肺塞栓症とは，典型的には下肢または骨盤の太い静脈など，他の場所で形成された血栓による肺動脈の閉塞である。肺塞栓症の危険因子は，静脈還流を障害する状態，血管内皮の障害または機能不全を引き起こす状態，および基礎にある凝固亢進状態である。肺塞栓症の症状は非特異的であり，呼吸困難，胸膜性胸痛などに加え，より重症例では，ふらつき，失神前状態，失神，...  さらに読む        の治療と予防などがある。ICU患者の15～25％がICU内で死亡するため，医師は苦痛を最小限にする方法および 死に臨んだ患者     臨死患者  臨死患者には，他の患者とは異なるニーズがある可能性がある。このニーズを満たすために，まずどの患者が臨死状態にあるかを同定する必要がある。死に至る前に，患者は3種類の一般的な機能低下の軌跡の1つをたどる傾向がある： 限定的な期間で機能低下が着実に進行（例，進行性のがんに典型的） 着実に進行しないこともある重度の機能障害が，長期かつ不確定な期...  さらに読む     が尊厳を保てるようにする方法を心得ておくべきである。
"Một số hệ thống thang điểm đã được phát triển để đánh giá mức độ nặng của tình trạng bệnh ở những bệnh nhân hồi sức. Những hệ thống thang điểm này có độ chính xác vừa phải trong việc dự đoán tỷ lệ sống sót của bệnh nhân. Tuy nhiên, các hệ thống thang điểm này có giá trị hơn khi được dùng để theo dõi chất lượng chăm sóc và để tiến hành các nghiên cứu vì chúng cho phép so sánh kết quả giữa các nhóm bệnh nhân nặng với mức độ nặng tương tự.","Several scoring systems have been developed to grade the severity of illness in critically ill patients. These systems are moderately accurate in predicting individual survival. However, these systems are more valuable for monitoring quality of care and for conducting research studies because they allow comparison of outcomes among groups of critically ill patients with similar illness severity.",重症（critically ill）患者の重症度を分類するため，いくつかのスコアリングシステムが開発されている。これらのシステムは，個々の患者の生存を予測する上での精度は中等度である。しかしながら，これらのシステムを用いることで，重症（critically ill）患者のうち重症度が同等の集団間での転帰を比較できるため，管理の質をモニタリングしたり研究を行うにあたっては，より価値が高い。
"Một trong những hệ thống thang điểm phổ biến nhất là phiên bản lần hai của thang điểm đánh giá sinh lý học cấp tính và đánh giá sức khỏe mạn tính II (APACHE II) được giới thiệu vào năm 1985. Điểm được tính từ 0 đến 71 dựa trên 12 biến số sinh lý, tuổi và sức khỏe ở trạng thái bình thường (xem bảng Hệ thống chấm điểm APACHE II     Hệ thống Bảng điểm Đánh giá sinh lý cấp tính và đánh giá sức khoẻ mãn tính (APACHE) II*          ). Hệ thống APACHE III được phát triển vào năm 1991, và hệ thống APACHE IV được phát triển vào năm 2006. Các hệ thống này phức tạp hơn với một số lượng lớn các biến sinh lý nhưng lại rườm rà hơn và ít được sử dụng hơn. Có rất nhiều hệ thống thang điểm khác, bao gồm bảng Điểm Sinh lý cấp tính Đơn giản thứ 2 (SAPS II), bảng điểm Mô hình Dự báo Tử vong (MPM) và bảng Điểm đánh giá suy cơ quan tuần tự (SOFA)     Thang điểm đánh giá suy chức năng cơ quan tiến triển(SOFA)          .","One of the most common systems is the 2nd version of the Acute Physiologic Assessment and Chronic Health Evaluation II (APACHE II) score introduced in 1985. It generates a point score ranging from 0 to 71 based on 12 physiologic variables, age, and underlying health (see table APACHE II Scoring System     Acute Physiologic Assessment and Chronic Health Evaluation (APACHE) II Scoring System*          ). The APACHE III system was developed in 1991, and the APACHE IV system was developed in 2006. These systems are more complex with a greater number of physiologic variables but are more cumbersome and are somewhat less used. There are many other systems, including the 2nd Simplified Acute Physiology Score (SAPS II), the Mortality Prediction Model (MPM), and the Sequential Organ Failure Assessment (SOFA) score     Sequential Organ Failure Assessment (SOFA) Score          .",最もよく用いられるシステムの1つは，1985年に導入されたAcute Physiologic Assessment and Chronic Health Evaluation II（APACHE II）である。このスコアリングシステムでは，12個の生理学的変数，年齢，および基礎疾患に基づき，0～71の範囲で点数を算出する（APACHE II スコアリングシステム     Acute Physiologic Assessment and Chronic Health Evaluation（APACHE）II スコアリングシステム*          の表を参照）。APACHE IIIは1991年に開発され，APACHE IVは2006年に開発された。このシステムは生理学的変数の数が多く，より複雑であるが，扱いにくさも増しており，用いられる頻度はやや低い。他にも多くのスコアリングシステムがあり，2nd Simplified Acute Physiology Score（SAPS II），Mortality Prediction Model（MPM）， Sequential Organ Failure Assessment（SOFA）スコア     Sequential Organ Failure Assessment（SOFA）スコア          などがあげられる。
"Đường thở miệng hầu là các thiết bị trong khoang miệng phù hợp với lưỡi và đẩy nó ra khỏi thành sau họng, do đó khôi phục lại đường thở hầu họng.","Oropharyngeal airways are rigid intraoral devices that conform to the tongue and displace it away from the posterior pharyngeal wall, thereby restoring pharyngeal airway patency.",経口エアウェイは，硬性の口腔内器具であり，舌の形に沿って舌を咽頭後壁から離れさせることで，咽頭の気道開通性を向上させる。
"(Xem thêm Thiết lập và kiểm soát đường thở     Thiết lập và kiểm soát đường thở  Kiểm soát đường thở Làm thông thoáng đường thở trên Duy trì mở đường thở bằng máy thở Đôi khi hỗ trợ thở máy (Xem thêm Tổng quan về ngừng thở)  đọc thêm     , Cách thực hiện các động tác nghiêng đầu và nâng hàm     Thực hiện các động tác nâng cao đầu và đẩy hàm như thế nào  Một phần của các thủ thuật hô hấp trước khi đặt nội khí quản và cấp cứu, nghiệm pháp nâng cằm nghiêng đầu và phương pháp nhổ răng bằng tay là 2 phương pháp thủ thuật để giúp khôi phục lại đường...  đọc thêm      và Cách đặt ống thông mũi họng     Làm thế nào để đặt đường thở mũi họng  Đường thở mũi họng là các ống mềm dẻo với một đầu được khoét (do đó đồng nghĩa với nó: kèn mũi) và đầu còn lại được vát, đầu được vát vào đầu, qua lỗ mũi vào họng. (Xem thêm Thiết lập và kiểm...  đọc thêm     .)","(See also Airway Establishment and Control     Airway Establishment and Control  Airway management consists of Clearing the upper airway Maintaining an open air passage with a mechanical device Sometimes assisting respirations (See also Overview of Respiratory Arrest.)  read more     , How To Do Head Tilt–Chin Lift and Jaw-Thrust Maneuvers     How To Do Head Tilt–Chin Lift and Jaw-Thrust Maneuvers  Part of pre-intubation and emergency rescue breathing procedures, the head tilt–chin lift maneuver and the jaw-thrust maneuver are 2 noninvasive, manual means to help restore upper airway patency...  read more     , and How To Insert a Nasopharyngeal Airway     How To Insert a Nasopharyngeal Airway  Nasopharyngeal airways are flexible tubes with one end flared (hence their synonym: nasal trumpets) and the other end beveled that are inserted, beveled end first, through the nares into the...  read more     .)",（気道確保および管理     気道確保および管理  気道管理は以下から成る： 上気道からの異物の除去 専用器具による気道開通性の維持 ときに呼吸補助 （ 呼吸停止の概要も参照のこと。）  さらに読む     ， 頭部後屈あご先挙上法および下顎挙上法     頭部後屈あご先挙上法および下顎挙上法  挿管前および救急人工呼吸手技の一環としての頭部後屈あご先挙上法および下顎挙上法は，舌が声門を閉塞している場合に（これは意識障害または意識喪失のある患者でよく生じる），上気道の開存を回復させるのに役立つ非侵襲的な用手的処置である。 （ 呼吸停止および 気道確保および管理も参照のこと。） これらの方法では，処置者が積極的に関与を続ける必要があり， バッグバルブマスク換気（BVM）の重要な要素を成している。...  さらに読む     ，および 経鼻エアウェイの挿入     経鼻エアウェイの挿入  経鼻エアウェイは，一方の端が広がっていて（そのためnasal trumpetとも呼ばれる），他端が斜角になっている柔軟なチューブであり，斜角になっている端から鼻腔を介し咽頭へ挿入される。 （ 気道確保および管理， 頭部後屈あご先挙上法および下顎挙上法，および 経口エアウェイの挿入も参照のこと。） 咽頭に挿入するエアウェイ（経口エアウェイと経鼻エアウェイの両方）は，呼吸停止または重度の換気障害のある患者に対して用いられ，以下もまた予備的な...  さらに読む     も参照のこと。）
"Đường thở hầu họng (cả hầu họng và hầu họng) là một phần của kiểm soát đường thở trên cho bệnh nhân bị ngừng thở hoặc suy hô hấp nặng, bao gồm","Pharyngeal airways (both oropharyngeal and nasopharyngeal) are a component of preliminary upper airway management for patients with apnea or severe ventilatory failure, which also includes",咽頭に挿入するエアウェイ（経口エアウェイと経鼻エアウェイの両方）は，呼吸停止または重度の換気障害のある患者に対して用いられ，以下もまた予備的な上気道管理の構成要素として含まれる：
Mục tiêu của tất cả các phương pháp này là làm giảm tắc nghẽn đường hô hấp trên do lưỡi nằm thư giãn trên thành sau họng.,The goal of all of these methods is to relieve upper airway obstruction caused by a relaxed tongue lying on the posterior pharyngeal wall.,これらの方法の目標は全て，弛緩した舌が咽頭後壁に付くことで発生する上気道閉塞を緩和することである。
Thông khí bóng mask có van,Bag-valve-mask ventilation,バッグバルブマスク換気を受けている
Bệnh nhân thở tự nhiên với sự tắc nghẽn mô mềm của đường hô hấp trên bị che khuất sâu và không có phản xạ,Spontaneously breathing patients with soft tissue obstruction of the upper airway who are deeply obtunded and have no gag reflex,自発呼吸をしているが上気道の軟部組織の閉塞があり，深い意識昏迷状態で咽頭反射がない
