Id,Language,Text,Expected
9424bdb0e1bef0e61f0df8ee96a21598,en,"Erosive gastritis is gastric mucosal erosion caused by damage to mucosal defenses. It is typically acute, manifesting with bleeding, but may be subacute or chronic with few or no symptoms. Diagnosis is by endoscopy. Treatment is supportive, with removal of the inciting cause and initiation of acid-suppressant therapy. Certain intensive care unit patients (eg, head trauma, burn, multisystem trauma, mechanically ventilated) benefit from prophylaxis with acid suppressants.","Viêm dạ dày ăn mòn là ăn mòn niêm mạc dạ dày do tổn thương hàng rào bảo vệ niêm mạc gây ra. Bệnh thường cấp tính, có biểu hiện chảy máu, nhưng có thể bán cấp hoặc mạn tính với ít hoặc không có triệu chứng. Chẩn đoán bằng nội soi. Điều trị là điều trị hỗ trợ, loại bỏ các nguyên nhân gây bệnh và bắt đầu điều trị bằng thuốc ức chế axit. Một số bệnh nhân trong khoa hồi sức tích cực (ví dụ: chấn thương đầu, bỏng, chấn thương đa hệ thống, thở máy) được hưởng lợi từ việc điều trị dự phòng bằng thuốc ức chế axit."
e58235428def7343d4187ae138803a0f,en,"(See also Overview of Acid Secretion     Overview of Acid Secretion  Acid is secreted by parietal cells in the proximal two thirds (body) of the stomach. Gastric acid aids digestion by creating the optimal pH for pepsin and gastric lipase and by stimulating pancreatic...  read more      and Overview of Gastritis     Overview of Gastritis  Gastritis is inflammation of the gastric mucosa caused by any of several conditions, including infection (Helicobacter pylori), drugs (nonsteroidal anti-inflammatory drugs, alcohol),...  read more        .)","(Xem thêm Tổng quan về bài tiết axit     Tổng quan về bài tiết axit  Axit do các tế bào thành ở hai phần ba trên dạ dày (phần thân) tiết ra. A xít dạ dày hỗ trợ tiêu hóa bằng cách tạo ra độ pH tối ưu cho pepsin và lipase dạ dày và bằng cách kích thích quá trình...  đọc thêm      và Tổng quan về viêm dạ dày     Tổng quan về viêm dạ dày  Viêm dạ dày là tình trạng viêm niêm mạc dạ dày do các nguyên nhân sau gây ra, bao gồm nhiễm trùng (Helicobacter pylori), thuốc (thuốc chống viêm không steroid, rượu), căng thẳng và hiện...  đọc thêm        .)"
e441c8114be4e37c4ea528380b98c179,en,Common causes of erosive gastritis include,Nguyên nhân phổ biến của viêm dạ dày ăn mòn bao gồm
af1beb4293efbdde468d0e7c8508de1a,en,Nonsteroidal anti-inflammatory drugs (NSAIDs),Các thuốc chống viêm không có steroid (NSAID)
374441213f60e52d60fed0278e0872b5,en,Alcohol,Rượu
43e350618ec951e034f0981cbb36d038,en,Stress,Căng thẳng
1c0219ac41aab239d3eec0b659f0c399,en,Less common causes of erosive gastritis include,Nguyên nhân ít phổ biến hơn của viêm dạ dày loét trợt bao gồm
bff9b6f472366cb5d8f8e6ab1010d377,en,Radiation,Phóng xạ
18235982469b8530e671241bd1565058,en,"Viral infection (eg, cytomegalovirus)",Nhiễm vi rút (ví dụ: cytomegalovirus)
5285e261c6dc2529ce2356064158acf3,en,Vascular injury,Tổn thương mạch máu
